AGNO;RBD;DGV_RBD;NOM_RBD;MRUN;RUT_SOSTENEDOR;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2019;17691;5;COLEGIO CREACION; ; ;9;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17692;3;COLEGIO GOLDEN SCHOOL; ;65144356;1;8;BBIO;81;8103;CHIGUAYANTE;83;CONCEPCIÓN;3;2;0;-36,921587910000;-73,028444010000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;$25.001 A $50.000
2019;17693;1;COLEGIO BASICO NUEVA LOS LOBOS; ;69150800;1;8;BBIO;81;8110;TALCAHUANO;83;CONCEPCIÓN;2;1;0;-36,713885970000;-73,137936060000;1;10;110;0;0;0;0;0;0;0;0;0;1;1;7;LAICA;GRATUITO;GRATUITO
2019;17696;6;JARDIN INFANTIL LOS CANELITOS; ;77754090;1;8;BBIO;82;8202;ARAUCO;84;ARAUCO;3;2;0;-37,250628713000;-73,311315860700;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1; ;GRATUITO;GRATUITO
2019;17697;4;SOCIEDAD EDUCACIONAL LA ARAUCANA; ;96847590;1;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;4;3;0;-36,814312000000;-73,039700000000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1; ;$50.001 A $100.000;$50.001 A $100.000
2019;17698;2;ESCUELA RAMÓN VINAY SEPÚLVEDA; ;69140900;1;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;2;1;0;-36,627139560000;-72,087208730000;1;10;110;165;363;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17699;0;ESCUELA ESP.DIF.CENTRO EDUCATIVO INTEGRAL LOS NARANJOS; ;65024466;1;16;NUBLE;161;16101;CHILLÁN;81;ÑUBLE;3;2;0;-36,619560000000;-72,113220000000;0;212;217;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17700;8;CENTRO EDUCACIONAL DE ADULTOS  PITAGORAS; ;96925610;1;8;BBIO;83;8301;LOS ÁNGELES;82;BIOBÍO;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2019;17701;6;CENTRO DE EDUCACIÓN DE ADULTOS NEWENTUN; ;65127552;1;8;BBIO;81;8101;CONCEPCIÓN;83;CONCEPCIÓN;3;2;0;-36,826500000000;-73,053390000000;0;363;0;0;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2019;17702;4;INSTITUTO SAN SEBASTIÁN MEDIO; ;65065400;1;8;BBIO;83;8313;YUMBEL;82;BIOBÍO;3;2;0;-37,097246470000;-72,562016120000;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2; ;GRATUITO;GRATUITO
