ïagno;rbd;dgv_rbd;nom_rbd;mrun;rut_sostenedor;p_juridica;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe;cod_depe2;rural_rbd;latitud;longitud;convenio_pie;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09;matricula;estado_estab;ori_religiosa;ori_otro_glosa;pago_matricula;pago_mensual
2016;20038;7;ESCUELA BASICA MARTIN NANCUPIL;16181508; ;0;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20039;5;JARDIN INFANTIL BAMBI(CERRADO); ; ;9;9;91;9114;PITRUFQUEN;93;CAUTIN SUR;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20040;9;JARDIN INFANTIL COPIHUITO(CERRADO,JUNJI); ; ;9;9;91;9111;NUEVA IMPERIAL;92;CAUTIN NORTE;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20041;7;ESCUELA PARTICULAR CLAUDIO ARRAU; ;76158173;1;9;91;9120;VILLARRICA;93;CAUTIN SUR;3;2;1;-39.317547;-72.235405;1;10;110;310;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20042;5;ESC. PART. LUCILA GODOY ALCAYAGA; ;76163649;1;9;92;9201;ANGOL;91;MALLECO;3;2;0;-37.817066;-72.673637;1;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20043;3;CENTRO DE EDUCACION DE ADULTOS LEFXARV; ;76160759;1;9;91;9111;NUEVA IMPERIAL;92;CAUTIN NORTE;3;2;0;-38.750965;-72.941963;0;167;363;0;0;0;0;0;0;0;1;1;7;INTERCULTURAL;GRATUITO;GRATUITO
2016;20044;1;CTRO.EDUC.ADULTOS T.P. EL SEMBRADOR; ;77919260;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.738678;-72.587906;0;363;463;663;0;0;0;0;0;0;1;1;1; ;$1.000 A $10.000;GRATUITO
2016;20046;8;ESCUELA PART. MISS CLARA BRINCEFIELD; ;71612100;1;9;91;9112;PADRE LAS CASAS;93;CAUTIN SUR;3;2;0;-38.759117;-72.596237;1;10;110;0;0;0;0;0;0;0;1;1;3; ;GRATUITO;GRATUITO
2016;20047;6;CENTRO DE ESTUDIOS DE LAS COMUNICACIONES PARA EL TRABAJO; ;76165459;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.747707;-72.587196;0;363;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20048;4;COLEGIO SCOLE CREARE; ;76077846;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.729359;-72.622078;1;110;310;0;0;0;0;0;0;0;1;1;1; ;$25.001 A $50.000;$25.001 A $50.000
2016;20049;2;COLEGIO PARTICULAR NVO MUNDO; ; ;9;9;91;9101;TEMUCO;92;CAUTIN NORTE;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20050;6;COLEGIO PUCON(CERRADO); ; ;9;9;91;9115;PUCON;93;CAUTIN SUR;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20051;4;ESCUELA MALLEARAUCO; ;76182931;1;9;91;9111;NUEVA IMPERIAL;92;CAUTIN NORTE;3;2;1;-38.766228;-72.957253;0;0;0;0;0;0;0;0;0;0;0;2;7;ECUMENICA;GRATUITO;GRATUITO
2016;20052;2;COMPLEJO EDUCACIONAL VICTORIA; ;78760770;1;9;92;9211;VICTORIA;91;MALLECO;3;2;0;-38.23978;-72.320526;1;10;110;310;410;510;610;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20053;0;LICEO TECNICO PROFESIONAL HUALPIN; ;69252100;1;9;91;9117;TEODORO SCHMIDT;93;CAUTIN SUR;2;1;1;-39.070938;-73.229691;0;510;610;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20054;9;ESCUELA GASPAR HUENCHUMAN; ;76179702;1;9;91;9111;NUEVA IMPERIAL;92;CAUTIN NORTE;3;2;1;-38.682896;-73.024246;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20055;7;COLEGIO LEONARDO DA VINCI(CERRADO); ; ;9;9;91;9114;PITRUFQUEN;93;CAUTIN SUR;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20056;5;ESCUELA RAYEN MAPU; ;81732500;1;9;91;9104;CURARREHUE;93;CAUTIN SUR;3;2;1;-39.080227;-71.474297;0;0;0;0;0;0;0;0;0;0;0;3;2; ;GRATUITO;GRATUITO
2016;20057;3;ESCUELA PANQUI (CERRADA); ; ;9;9;91;9104;CURARREHUE;93;CAUTIN SUR;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
2016;20058;1;ESCUELA ESPECIAL LAS LILAS DE TRAIGUEN; ;69180700;1;9;92;9210;TRAIGUEN;91;MALLECO;2;1;0;-38.252556;-72.667938;0;212;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20060;3;ESCUELA ESPECIAL LAGO AZUL;1879680; ;0;9;91;9115;PUCON;93;CAUTIN SUR;3;2;0;-39.283051;-71.979286;0;212;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2016;20061;1;COLEGIO DE LENGUAJE PEHUEN; ;77196280;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1; ;GRATUITO;GRATUITO
2016;20063;8;CENTRO DE EDUC.I.ADUL.MIGUEL DE CERVANTES; ;79518920;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.734898;-72.585205;0;165;363;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20064;6;COLEGIO BICENTENARIO DE LA ARAUCANIA; ;76164922;1;9;91;9112;PADRE LAS CASAS;93;CAUTIN SUR;3;2;0;-38.762547;-72.599258;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2016;20065;4;JARDIN INFANTIL RAYITO DE SOL; ;76197361;1;9;91;9112;PADRE LAS CASAS;93;CAUTIN SUR;3;2;0;-38.774487;-72.594528;0;10;0;0;0;0;0;0;0;0;1;1;9; ;SIN INFORMACION;SIN INFORMACION
2016;20066;2;CENTRO DE ESTUDIOS Y CAPACITACION LIMITADA; ;77349290;1;9;91;9101;TEMUCO;92;CAUTIN NORTE;3;2;0;-38.743927;-72.584496;0;363;0;0;0;0;0;0;0;0;1;1;3; ;GRATUITO;GRATUITO
2016;20067;0;ESCUELA FRANCISO QUEREBAN; ;76134877;1;9;91;9112;PADRE LAS CASAS;93;CAUTIN SUR;3;2;1;-38.7934;-72.610168;1;10;110;0;0;0;0;0;0;0;1;1;3; ;GRATUITO;GRATUITO
2016;20068;9;ESCUELA PARTICULAR SAINT GEORGE; ;76160152;1;9;92;9201;ANGOL;91;MALLECO;3;2;0;-37.792915;-72.711136;0;10;110;310;0;0;0;0;0;0;1;1;1; ;$25.001 A $50.000;$25.001 A $50.000
2016;20069;7;ESCUELA PARTICULAR SAN ANDRES;18212516; ;0;9;91;9112;PADRE LAS CASAS;93;CAUTIN SUR;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION
