ïagno;rbd;dgv_rbd;nom_rbd;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe;cod_depe2;rural_rbd;latitud;longitud;convenio_pie;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09;matricula;estado_estab;ori_religiosa;ori_otro_glosa;pago_matricula;pago_mensual
2015;5009;1;COLEGIO PARTICULAR GABRIELA MISTRAL;8;81;8102;CORONEL;83;CONCEPCION;3;2;0;-37.011723;-73.153351;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;$10.001 A $25.000
2015;10405;1;LICEO ESMERALDA;13;133;13301;COLINA;137;SANTIAGO NORTE;1;1;0;-33.208992;-70.678932;1;10;110;310;410;610;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;18194;3;ESCUELA ESPECIAL DE LENGUAJE PALABRITAS;8;81;8101;CONCEPCION;83;CONCEPCION;3;2;0;-36.827442;-73.064888;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;2384;1;ESCUELA BASICA ROSARIO DE CODAO;6;61;6112;PEUMO;61;CACHAPOAL;2;1;1;-34.343616;-71.230492;1;10;110;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;3140;2;ESCUELA CORINTO;7;71;7107;PENCAHUE;72;TALCA;2;1;1;-35.445908;-71.866951;1;10;110;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;383;2;ESC. BAS. DIFERENCIAL JOSE LUIS OLIVARES A.;3;32;3201;CHAÃARAL;31;COPIAPO;2;1;0;-26.342878;-70.61779;0;212;214;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;31219;3;COLEGIO VERSALLES;4;41;4101;LA SERENA;41;ELQUI;3;2;0;-29.886408;-71.238342;0;110;0;0;0;0;0;0;0;0;1;1;1; ;$10.001 A $25.000;$10.001 A $25.000
2015;2732;4;LICEO FERNANDO LAZCANO;7;73;7301;CURICO;71;CURICO;2;1;0;-34.985668;-71.24015;1;310;0;0;0;0;0;0;0;0;1;1;1; ;$1.000 A $10.000;GRATUITO
2015;11952;0;ESCUELA BELEN OÂ¦HIGGINS;13;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0;-33.537899;-70.605568;1;10;110;363;0;0;0;0;0;0;1;1;7;EVANGELICA LUTERANA;GRATUITO;GRATUITO
2015;5275;2;ESC. BASICA JULIO MONTT SALAMANCA;9;92;9209;RENAICO;91;MALLECO;2;1;1;-37.709839;-72.647812;0;110;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;12509;1;LICEO PDTE. ANIBAL PINTO GARMENDIA.;1;11;1101;IQUIQUE;11;IQUIQUE;3;2;0;-20.224081;-70.141006;0;10;110;310;0;0;0;0;0;0;1;1;1; ;GRATUITO;$25.001 A $50.000
2015;8491;3;LICEO DE APLICACION RECTOR JORGE E SCHNE;13;131;13101;SANTIAGO;131;SANTIAGO CENTRO;2;1;0;-33.440941;-70.66272;0;110;165;310;363;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
