RBD,NOM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,MAT_TOTAL,ENS_01
268,ESC. BASICA RURAL SAN ANTONIO DE PADUA,OLLAGÜE,2,1,1,47,110
269,ESCUELA BASICA SAN PEDRO DE ATACAMA,SAN PEDRO DE ATACAMA,2,0,1,1021,10
270,COMPLEJO EDUCACIONAL TOCONAO,SAN PEDRO DE ATACAMA,2,1,1,331,10
271,ESCUELA BASICA CAMAR,SAN PEDRO DE ATACAMA,2,1,1,11,110
273,ESCUELA BASICA SOLOR,SAN PEDRO DE ATACAMA,2,1,1,30,110
274,ESCUELA BASICA SAN ROQUE,SAN PEDRO DE ATACAMA,2,1,1,22,110
275,ESCUELA BASICA ANDINA,SAN PEDRO DE ATACAMA,2,1,1,3,110
276,ESCUELA BASICA TALABRE,SAN PEDRO DE ATACAMA,2,1,1,7,110
277,ESCUELA BASICA SAN BARTOLOME,SAN PEDRO DE ATACAMA,2,1,1,35,10
279,LICEO INDUSTRIAL EULOGIO GORDO MONEO,ANTOFAGASTA,1,0,1,2073,510
280,LICEO COMERCIAL JERARDO MUNOZ CAMPOS,ANTOFAGASTA,1,0,1,1492,110
282,LICEO A. RENDIC I. ANEXO C. REHABILIT. SOCIAL,ANTOFAGASTA,1,0,1,16,165
283,LICEO TECNICO ANTOFAGASTA,ANTOFAGASTA,1,0,1,1160,610
284,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA,ANTOFAGASTA,1,0,1,1227,10
285,LICEO BICENTENARIO MARTA NAREA DIAZ,ANTOFAGASTA,1,0,1,1053,10
286,LICEO LA PORTADA,ANTOFAGASTA,1,0,1,858,310
287,LICEO DOMINGO HERRERA RIVERA,ANTOFAGASTA,1,0,1,1019,110
288,ESCUELA JAPON,ANTOFAGASTA,1,0,1,969,110
289,ESCUELA ESPANA,ANTOFAGASTA,1,0,1,671,10
291,ESCUELA PADRE GUSTAVO LE PAIGE DE WALQUE,ANTOFAGASTA,1,0,1,1046,10
292,ESCUELA REPUBLICA DE ITALIA,ANTOFAGASTA,1,0,1,820,10
293,ESCUELA JOSE PAPIC RADNIC,ANTOFAGASTA,1,0,1,1235,10
294,ESCUELA PROFESORA LJUBICA DOMIC WUTH,ANTOFAGASTA,1,0,1,767,110
296,ESCUELA REPUBLICA DE LOS ESTADOS UNIDOS,ANTOFAGASTA,1,0,1,617,10
297,ESCUELA ALCALDE MAXIMILIANO POBLETE,ANTOFAGASTA,1,0,1,617,10
298,ESCUELA DARIO SALAS DIAZ,ANTOFAGASTA,1,0,1,564,10
299,ESCUELA GRECIA,ANTOFAGASTA,1,0,3,0,0
301,ESCUELA ROMULO J. PENA MATURANA,ANTOFAGASTA,1,0,1,621,10
302,ESCUELA JUAN LOPEZ,ANTOFAGASTA,1,0,1,594,10
303,ESCUELA REPUBLICA ARGENTINA,ANTOFAGASTA,1,0,1,503,10
304,LICEO BICENTENARIO ANDRÉS SABELLA,ANTOFAGASTA,1,0,1,1334,10
305,ESCUELA HUMBERTO GONZALEZ ECHEGOYEN,ANTOFAGASTA,1,0,1,1019,10
306,ESCUELA HUANCHACA,ANTOFAGASTA,1,0,1,330,10
307,ESCUELA DE PARVULOS MARCELA PAZ,ANTOFAGASTA,1,0,1,249,10
308,ESCUELA DE ADULTOS DR.ANTONIO RENDIC,ANTOFAGASTA,1,0,3,0,0
310,ESCUELA CLAUDIO MATTE PEREZ,ANTOFAGASTA,1,0,1,529,10
311,ESC DIFERENCIAL JUAN SANDOVAL CARRASCO,ANTOFAGASTA,1,0,1,201,212
312,ESCUELA ECUADOR,ANTOFAGASTA,1,0,1,704,10
313,ESCUELA ARTURO PRAT,ANTOFAGASTA,1,0,1,1227,10
315,ESCUELA HEROES DE LA CONCEPCION,ANTOFAGASTA,1,0,1,513,10
316,ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA,ANTOFAGASTA,1,0,1,413,10
317,ESCUELA LAS ROCAS,ANTOFAGASTA,1,0,1,1026,10
318,ESCUELA EDDA CUNEO DONNAGIO,ANTOFAGASTA,1,0,1,318,10
319,ESCUELA LA BANDERA,ANTOFAGASTA,1,0,1,879,10
320,LICEO ARTISTICO DE ANTOFAGASTA `ARMANDO CARRERA GONZALEZ`,ANTOFAGASTA,1,0,1,941,10
321,ESCUELA BASICA SIMON BOLIVAR PALACIOS,ANTOFAGASTA,1,0,3,0,0
322,ESCUELA GENERAL MANUEL BAQUEDANO,ANTOFAGASTA,1,0,1,592,10
324,ESCUELA FUNDACION MINERA ESCONDIDA,ANTOFAGASTA,1,0,1,509,10
326,ESCUELA SANTIAGO AMENGUAL B.,ANTOFAGASTA,1,0,1,619,10
327,ESCUELA PEDRO AGUIRRE CERDA,ANTOFAGASTA,1,0,3,0,0
329,LICEO BICENTENARIO INSTITUTO JOSÉ MAZA SANCHO,ANTOFAGASTA,1,0,1,655,10
330,ESCUELA DE PARVULOS LOS PINGUINITOS,ANTOFAGASTA,1,0,1,154,10
332,ESCUELA GABRIELA MISTRAL,ANTOFAGASTA,1,0,1,560,10
333,ESCUELA DE PARVULOS BLANCA NIEVES,ANTOFAGASTA,1,0,1,220,10
335,COLEGIO MISIONERO JOSE LANCASTER,ANTOFAGASTA,3,0,1,624,10
336,LICEO EXPERIMENTAL ARTISTICO-APLICACION,ANTOFAGASTA,3,0,1,1341,110
337,COLEGIO SANTA TERESITA,ANTOFAGASTA,3,0,1,979,110
340,CENTRO TRATAMIEN.INTEGRAL RAYITO DE SOL,ANTOFAGASTA,3,0,1,132,212
341,COLEGIO ADVENTISTA DE ANTOFAGASTA,ANTOFAGASTA,3,0,1,798,110
342,COLEGIO INGLES SAN JOSE,ANTOFAGASTA,3,0,1,1326,10
343,ESCUELA PRESBITERIANA,ANTOFAGASTA,3,0,1,683,10
344,COLEGIO SANTA EMILIA,ANTOFAGASTA,3,0,1,985,10
349,ESC. PARV. LAS ARDILLITAS 1,ANTOFAGASTA,4,0,1,0,0
350,COLEGIO LIDIA MORENO,ANTOFAGASTA,3,0,1,749,110
352,ESC. PARV. PAPELUCHO,ANTOFAGASTA,4,0,1,0,0
353,ESC. PARV. GRETCHEN,ANTOFAGASTA,4,0,2,0,0
354,COL. KID'S SCHOOL,ANTOFAGASTA,4,0,1,0,0
355,COLEGIO BINACIONAL CHILENO AMERICANO DE ANTOFAGASTA(EX INS. CHILENO NORTEAMERICANO CULTURA),ANTOFAGASTA,4,0,3,0,0
356,COLEGIO CORAZON DE MARIA,ANTOFAGASTA,3,0,1,1111,10
357,COL. SAN LUIS,ANTOFAGASTA,4,0,1,1000,10
358,INS. SANTA MARIA,ANTOFAGASTA,4,0,1,444,10
361,COL. THE ANTOFAGASTA BRITISH SCHOOL,ANTOFAGASTA,4,0,1,909,10
363,COL. GIANT,ANTOFAGASTA,4,0,3,0,0
364,COL. ANTOFAGASTA,ANTOFAGASTA,4,0,1,670,10
365,COLEGIO EAGLE SCHOOL,ANTOFAGASTA,3,0,1,875,10
366,HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),ANTOFAGASTA,4,0,1,1056,10
367,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT,MEJILLONES,2,0,1,1678,10
368,ESCUELA BASICA JULIA HERRERA VARAS,MEJILLONES,2,0,1,1202,10
369,ESCUELA LUCILA GODOY ALCAYAGA,MEJILLONES,2,1,1,17,110
370,ESCUELA ESTACION BAQUEDANO,SIERRA GORDA,2,0,1,165,10
371,COMPLEJO EDUCATIVO CARACOLES,SIERRA GORDA,2,0,1,163,10
372,LICEO POLITECNICO JOSE MIGUEL QUIROZ,TALTAL,2,0,1,489,110
373,LICEO JUAN CORTES-MONROY CORTES,TALTAL,2,0,1,520,110
374,ESCUELA HOGAR VICTORIANO QUINTEROS SOTO,TALTAL,2,0,1,434,10
375,ESCUELA VICTOR CARVAJAL MEZA,TALTAL,2,0,1,539,10
377,ESCUELA PARANAL,TALTAL,2,1,1,31,110
378,ESCUELA PARTICULAR BERNARDO O'HIGGINS,TALTAL,3,0,3,0,0
379,LICEO FEDERICO VARELA,CHAÑARAL,6,0,1,718,310
380,ESCUELA BÁSICA DIEGO PORTALES PALAZUELOS,CHAÑARAL,6,0,1,314,10
381,ESCUELA BÁSICA PEDRO LUJAN,CHAÑARAL,6,0,1,136,10
382,"ESCUELA GASPAR CABRALES, ARTÍSTICA Y DEPORTIVA",CHAÑARAL,6,0,1,352,10
383,ESCUELA BÁSICA DIFERENCIAL JOSÉ LUIS OLIVARES ARANCIBIA,CHAÑARAL,6,0,1,61,212
384,LICEO BICENTENARIO  MANUEL MAGALHAES MEDLING,DIEGO DE ALMAGRO,6,0,1,546,310
385,ESCUELA DE POTRERILLOS,DIEGO DE ALMAGRO,6,0,3,0,0
386,ESCUELA ALIRO LAMAS CASTILLO,DIEGO DE ALMAGRO,6,0,1,597,10
387,ESCUELA BÁSICA EMPERATRIZ SEPÚLVEDA LANDEROS,DIEGO DE ALMAGRO,6,1,1,36,110
388,COLEGIO MATILDE TRASLAVINA VILLALON,DIEGO DE ALMAGRO,3,1,3,0,0
389,ESCUELA ESPECIAL ROSITA AZUL,DIEGO DE ALMAGRO,3,0,3,0,0
390,ESCUELA COEDUCACIONAL PARTICULAR,DIEGO DE ALMAGRO,3,0,1,527,10
391,ESCUELA COEDUCACIONAL PARTICULAR OSCAR Y,DIEGO DE ALMAGRO,3,0,3,0,0
392,LICEO DIEGO DE ALMEIDA,DIEGO DE ALMAGRO,3,0,1,589,110
396,INSTITUTO COMERCIAL ALEJANDRO RIVERA DÍAZ,COPIAPÓ,6,0,1,810,410
397,LICEO TÉCNICO PROFESIONAL EDWIN LATORRE RIVERO,COPIAPÓ,6,0,1,121,165
399,LICEO JOSÉ ANTONIO CARVAJAL,COPIAPÓ,6,0,1,993,310
400,LICEO BICENTENARIO MERCEDES FRITIS MACKENNEY,COPIAPÓ,6,0,1,985,110
401,ESCUELA BERNARDO O HIGGINS,COPIAPÓ,6,0,1,840,10
402,ESCUELA RUDECINDO ARMANDO PENA CARRASCO,COPIAPÓ,6,0,3,0,0
403,ESCUELA LAURA ROBLES SILVA,COPIAPÓ,6,0,1,525,10
404,ESCUELA EDUCACIÓN DIFERENCIAL MARÍA LUZ LANZA PIZARRO,COPIAPÓ,6,0,1,143,212
405,ESCUELA LOS ESTANDARTES,COPIAPÓ,6,0,1,578,10
406,ESCUELA VICENTE SEPÚLVEDA ROJO,COPIAPÓ,6,0,1,763,10
407,ESCUELA JESÚS FERNÁNDEZ HIDALGO,COPIAPÓ,6,0,1,384,10
408,ESCUELA PEDRO LEÓN GALLO,COPIAPÓ,6,0,1,955,10
410,ESCUELA JOSÉ MANSO DE VELASCO,COPIAPÓ,6,0,1,622,10
411,ESCUELA LAS CANTERAS,COPIAPÓ,6,0,1,600,10
413,ESCUELA LAS BRISAS,COPIAPÓ,6,0,1,201,10
415,LICEO DE MÚSICA DE COPIAPÓ HUGO GARRIDO GAETE,COPIAPÓ,6,0,1,962,110
416,ESCUELA ABRAHAM SEPÚLVEDA PIZARRO,COPIAPÓ,6,0,1,699,10
417,COLEGIO BUEN PASTOR,COPIAPÓ,6,0,1,689,10
418,ESCUELA ISABEL PEÑA MORALES,COPIAPÓ,6,0,1,885,10
419,ESCUELA HERNÁN MÁRQUEZ HUERTA,COPIAPÓ,6,0,1,646,10
