RBD,acciones,estim_total,estim_sep,pct_completas,avance_min,avance_max,porc_ben,montos_extremos,faltantes_sep,duplicados,nombre_pme,NOM_RBD,NOM_COM_RBD,COD_DEPE,RURAL_RBD,ESTADO_ESTAB,MAT_TOTAL,ENS_01,_merge,estim_por_alumno,elegible
50,22,646500000,508500000.0,1.0,100.0,100.0,86.9,0,0,0,COLEGIO ADVENTISTA DE ARICA,COLEGIO ADVENTISTA DE ARICA,ARICA,3,0,1,536,110,both,1206156.7164179105,True
52,31,2064255680,2064255680.0,1.0,100.0,100.0,81.5,0,0,0,LICEO BICENTENARIO DOMINGO SANTA MARIA,LICEO BICENTENARIO DOMINGO SANTA MARIA,ARICA,3,0,1,3962,10,both,521013.5487127713,True
56,8,0,0.0,0.5,87.5,99.5,0.0,0,0,0,COLEGIO SAN MARCOS DE ARICA,COLEGIO SAN MARCOS DE ARICA,ARICA,3,0,1,997,10,both,0.0,True
60,11,400000000,400000000.0,1.0,100.0,100.0,80.8,0,0,0,COLEGIO ALEMAN DE ARICA,COLEGIO ALEMAN DE ARICA,ARICA,3,0,1,1000,10,both,400000.0,True
67,9,160000000,0.0,1.0,100.0,100.0,0.0,0,0,0,ABRAHAM LINCOLN SCHOOL,ABRAHAM LINCOLN SCHOOL,ARICA,3,0,1,762,10,both,209973.75328083988,True
70,9,4454000,4454000.0,0.6666666666666666,91.66666666666667,99.66666666666667,50.0,0,0,0,ESCUELA VALLE DE ESQUINA,ESCUELA VALLE DE ESQUINA,CAMARONES,6,1,1,10,110,both,445400.0,True
72,18,23200000,23200000.0,0.7222222222222222,90.27777777777777,96.94444444444444,34.2,0,0,0,LICEO VALLE DE CODPA,LICEO VALLE DE CODPA,CAMARONES,6,1,1,76,110,both,305263.15789473685,True
73,8,0,0.0,0.875,96.875,99.875,0.0,0,0,0,ESCUELA VALLE DE COBIJA,ESCUELA VALLE DE COBIJA,CAMARONES,6,1,1,0,0,both,,False
74,9,8402000,8402000.0,0.0,75.0,99.0,91.7,0,0,0,ESCUELA VALLE DE CAMARONES,ESCUELA VALLE DE CAMARONES,CAMARONES,6,1,1,12,110,both,700166.6666666666,True
75,9,2674057,2674057.0,0.2222222222222222,77.77777777777777,96.44444444444444,100.0,0,0,0,ESCUELA VALLE DE GUANACAGUA,ESCUELA VALLE DE GUANACAGUA,CAMARONES,6,1,1,2,110,both,1337028.5,True
76,9,1585000,1585000.0,0.8888888888888888,97.22222222222223,99.88888888888889,100.0,0,0,0,ESCUELA VALLE DE CUYA,ESCUELA VALLE DE CUYA,CAMARONES,6,1,1,6,110,both,264166.6666666667,True
78,10,137497762,137497762.0,0.1,60.0,81.6,85.4,0,0,0,LICEO GRANADEROS,LICEO GRANADEROS,PUTRE,6,1,1,239,10,both,575304.4435146444,True
