numero_anexo,dependencia_original,decreto,fecha_decreto,factura,fecha_factura,tipo,comodato,modelo_original,pagina_pdf,tabla,fila_tabla,id_fila,dependencia,familia,rbd
58,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,6,sin_comodato_33_3_6,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
59,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,7,sin_comodato_33_3_7,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
60,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,8,sin_comodato_33_3_8,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
61,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,9,sin_comodato_33_3_9,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
62,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,10,sin_comodato_33_3_10,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
63,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,11,sin_comodato_33_3_11,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
64,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,12,sin_comodato_33_3_12,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
65,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,13,sin_comodato_33_3_13,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
66,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,14,sin_comodato_33_3_14,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
67,Escuela Volcán Llaima,229,2021-09-09,13985,2021-07-23,Tablet,No existe comodato,LENOVO TAB P11 11” 6GB RAM 128 GB WIFI LTE TECLADO Y LAPIZ,33,3,15,sin_comodato_33_3_15,Volcán Llaima,Lenovo P11 + teclado/lápiz,19927
